Year,20,19,18,17,16,15,14,13,12,11,10,09,08,07,06,05,04,03,02,01,00,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,84,83,82,81,79,78,77,76,75,74,73,72,71,70,69,68,67,66,65,64,63,62,61,60,59,mean rate,number of being in top 3
USS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,3.0,1.0,3.0,1.0,6.0,1.0,4.0,2.0,9.0,1.0,,2.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,6.0,2.3214285714285716,25.0
CHN,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,6.0,1.0,2.0,1.0,1,2,1.0,1.0,2.0,8.0,4.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.78125,32.0
USA,3.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,2.0,3,6.0,3.0,5.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,10.0,3.0,4.0,2.0,11.0,1.0,7.0,2,5,3.0,5.0,6.0,5.0,1.0,2.0,4.0,2.0,3.0,1.0,5.0,2.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,3.2790697674418605,33.0
RUS,2.0,6.0,2.0,11.0,7.0,8.0,4.0,4.0,4.0,4.0,2,3.0,2.0,1.0,2.0,3.0,3.0,5.0,2.0,2.0,2.0,1.0,6.0,4.0,4.0,3.0,3.0,4.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7777777777777777,16.0
GDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,7.0,4.0,5.0,8.0,8.0,12.0,3.0,,6.0,,8.0,8.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,5.0,6.0,7.0,7.0,5.0,5.0,7.0,5.068965517241379,10.0
CZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,8.0,6.0,12.0,9.0,9.0,12.0,13.0,8.0,7.0,14.0,7.0,5.0,9.0,12.0,12.0,12.0,7.0,9.0,9.0,7.0,8.0,7.0,6.0,8.0,6.0,7.0,5.0,4.0,4.0,1.0,3.0,7.935483870967742,2.0
KOR,4.0,3.0,7.0,1.0,2.0,3.0,7.0,2.0,1.0,13.0,4,4.0,4.0,3.0,3.0,5.0,12.0,6.0,6.0,4.0,4.0,7.0,12.0,11.0,8.0,7.0,13.0,15.0,18,17,32.0,28.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,8.0
ROU,15.0,17.0,33.0,22.0,20.0,13.0,11.0,22.0,10.0,8.0,16,13.0,17.0,11.0,6.0,6.0,10.0,7.0,8.0,15.0,11.0,4.0,11.0,7.0,1.0,2.0,9.0,11.0,3,3,4.0,2.0,2.0,1.0,6.0,1.0,3.0,5.0,11.0,20.0,2.0,1.0,15.0,11.0,8.0,7.0,9.0,4.0,5.0,5.0,4.0,8.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,8.310344827586206,18.0
HUN,13.0,11.0,15.0,22.0,14.0,20.0,15.0,22.0,38.0,25.0,13,19.0,10.0,16.0,17.0,9.0,7.0,10.0,12.0,21.0,9.0,11.0,3.0,2.0,3.0,5.0,5.0,8.0,8,6,6.0,10.0,16.0,6.0,8.0,3.0,4.0,3.0,6.0,17.0,8.0,,3.0,7.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,8.596491228070175,23.0
VNM,17.0,7.0,20.0,3.0,11.0,5.0,10.0,7.0,9.0,31.0,11,15.0,12.0,3.0,13.0,15.0,4.0,4.0,5.0,10.0,5.0,3.0,9.0,10.0,7.0,4.0,6.0,9.0,10,8,23.0,9.0,5.0,11.0,10.0,5.0,7.0,6.0,5.0,,15.0,4.0,,14.0,10.0,13.0,,,,,,,,,,,,,,,,9.536585365853659,3.0
